model,org,lineage,variant,base,base_prov,arch,tok,params_b,active_b,proprietary
mistralai/Mistral-7B-Instruct-v0.2,mistralai,mistral-7b,v0.2,,,mistral,mistral,7.0,,False
mistralai/Mistral-7B-Instruct-v0.3,mistralai,mistral-7b,v0.3,,,mistral,mistral,7.0,,False
mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai,mixtral-8x7b,v0.1,,,mixtral-moe,mistral,46.7,12.9,False
nvidia/Llama3-ChatQA-1.5-8B,nvidia,llama-3,chatqa-1.5,meta-llama/Meta-Llama-3-8B-Instruct,documented,llama,llama3,8.0,,False
openchat/openchat-3.6-8b-20240522,openchat,llama-3,oc3.6-8b,meta-llama/Meta-Llama-3-8B-Instruct,documented,llama,llama3,8.0,,False
openchat/openchat_3.5,openchat,mistral-7b,oc3.5,mistralai/Mistral-7B-Instruct-v0.1,documented,mistral,mistral,7.0,,False
tiiuae/Falcon3-10B-Instruct,tii,falcon-3,10b,,,falcon3,falcon3,10.0,,False
tiiuae/Falcon3-7B-Instruct,tii,falcon-3,7b,,,falcon3,falcon3,7.0,,False
togethercomputer/Llama-2-7B-32K-Instruct,togethercomputer,llama-2,7b-32k,meta-llama/Llama-2-7b-chat-hf,documented,llama,llama2,7.0,,False
upstage/SOLAR-10.7B-Instruct-v1.0,upstage,mistral-7b,solar-10.7b,mistralai/Mistral-7B-Instruct-v0.1,inferred,llama,mistral,10.7,,False
utter-project/EuroLLM-1.7B-Instruct,utter,eurollm,1.7b,,,llama,eurollm,1.7,,False
