a,b,m1a_probe_cv_auc,m1b_energy,m1b_energy_scalefree,m2_confusion_rate,m2_separability,same_base,adjacent_version,same_family,same_org,same_arch,same_tokenizer,near_relative,structurally_related,relation_inferred
HuggingFaceH4/zephyr-7b-beta,Qwen/Qwen2.5-0.5B-Instruct,0.9978021978021978,41.41321402515634,1.235184386337748,0.014705882352941176,0.9852941176470589,False,False,False,False,False,False,False,False,False
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,ibm-granite/granite-3.0-8b-instruct,0.9978021978021978,42.50960135829443,1.2479550856261339,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,upstage/SOLAR-10.7B-Instruct-v1.0,0.9978021978021978,44.97471465914735,1.5176483934680738,0.022058823529411766,0.9779411764705882,False,False,False,False,False,True,False,False,False
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,0.9978021978021978,37.76111948834369,1.1697028683173776,0.007352941176470588,0.9926470588235294,False,True,True,True,True,True,True,True,False
gpt-3.5-turbo,openchat/openchat-3.6-8b-20240522,0.9978021978021978,44.448077269087506,1.4210858403480402,0.0,1.0,False,False,False,False,False,False,False,False,False
gpt-4-turbo-2024-04-09,tiiuae/Falcon3-10B-Instruct,0.9978021978021978,54.236042860634065,1.8872800808828598,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
mistralai/Mistral-7B-Instruct-v0.3,mistralai/Mixtral-8x7B-Instruct-v0.1,0.9978021978021978,30.239587254536595,1.0190454837520235,0.029411764705882353,0.9705882352941176,False,False,False,True,False,True,False,False,False
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Meta-Llama-3.1-70B-Instruct,0.9979591836734695,43.92037040742848,1.5115506080723438,0.007352941176470588,0.9926470588235294,False,True,True,True,True,True,True,True,False
Deci/DeciLM-7B-instruct,ibm-granite/granite-3.0-8b-instruct,0.9989010989010989,52.389411614498826,1.648952979126654,0.0,1.0,False,False,False,False,False,False,False,False,False
HuggingFaceH4/zephyr-7b-beta,Qwen/Qwen2-72B-Instruct,0.9989010989010989,43.98206799790147,1.3480742380337951,0.0,1.0,False,False,False,False,False,False,False,False,False
HuggingFaceH4/zephyr-7b-beta,openchat/openchat-3.6-8b-20240522,0.9989010989010989,34.783340754061086,1.0434069986452057,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,gpt-3.5-turbo,0.9989010989010989,45.09747583691545,1.3707625203974376,0.0,1.0,False,False,False,False,False,False,False,False,False
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,mistralai/Mistral-7B-Instruct-v0.1,0.9989010989010989,46.282683793327095,1.4186959660459033,0.007352941176470588,0.9926470588235294,False,False,False,False,False,True,False,False,False
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,openchat/openchat-3.6-8b-20240522,0.9989010989010989,34.288500443946646,1.0147421819100515,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,gpt-4-turbo-2024-04-09,0.9989010989010989,58.84892939315192,2.105018964423787,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,gpt-4-turbo-2024-04-09,0.9989010989010989,58.459729673593486,2.044789528912162,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,gpt-4o-2024-05-13,0.9989010989010989,49.37373464157571,1.6329209463190248,0.014705882352941176,0.9852941176470589,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,mistralai/Mistral-7B-Instruct-v0.1,0.9989010989010989,51.46511714939366,1.6642423763517422,0.0,1.0,False,False,False,False,False,False,False,False,False
gpt-3.5-turbo,gpt-4-turbo-2024-04-09,0.9989010989010989,51.49938958522026,1.8540871438745214,0.0,1.0,False,True,True,True,True,True,True,True,False
gpt-3.5-turbo,nvidia/Llama3-ChatQA-1.5-8B,0.9989010989010989,38.721549134429,1.240452528661615,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
gpt-3.5-turbo,openchat/openchat_3.5,0.9989010989010989,49.9165641357893,1.711865345904643,0.014705882352941176,0.9852941176470589,False,False,False,False,False,False,False,False,False
ibm-granite/granite-3.0-8b-instruct,mistralai/Mixtral-8x7B-Instruct-v0.1,0.9989010989010989,46.45843051969381,1.468017535168105,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
ibm-granite/granite-3.0-8b-instruct,openchat/openchat-3.6-8b-20240522,0.9989010989010989,53.53730110207731,1.650277253166061,0.014705882352941176,0.9852941176470589,False,False,False,False,False,False,False,False,False
meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,0.9989010989010989,52.231192759119665,1.7507756685504265,0.007352941176470588,0.9926470588235294,False,True,True,True,True,True,True,True,False
microsoft/Phi-3-medium-128k-instruct,microsoft/Phi-3.5-MoE-instruct,0.9989010989010989,71.61994904690137,2.8296118617284227,0.0,1.0,False,True,True,True,False,True,True,True,False
microsoft/Phi-3-medium-4k-instruct,microsoft/Phi-3-mini-128k-instruct,0.9989010989010989,61.03063390760268,2.1909887896423417,0.014705882352941176,0.9852941176470589,False,True,True,True,True,True,True,True,False
mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-Instruct-v0.3,0.9989010989010989,42.09034022265577,1.436441703702948,0.007352941176470588,0.9926470588235294,False,True,True,True,True,True,True,True,False
openchat/openchat_3.5,upstage/SOLAR-10.7B-Instruct-v1.0,0.9989010989010989,63.21857827686243,2.441429159599127,0.007352941176470588,0.9926470588235294,True,False,True,False,False,True,True,True,True
Deci/DeciLM-7B-instruct,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,0.9989795918367348,35.98826759214339,1.0865931550486227,0.022058823529411766,0.9779411764705882,False,False,False,False,False,False,False,False,False
Deci/DeciLM-7B-instruct,openchat/openchat-3.6-8b-20240522,0.9989795918367348,38.21576886909068,1.2132656576513223,0.0,1.0,False,False,False,False,False,False,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,openchat/openchat-3.6-8b-20240522,0.9989795918367348,44.19838066697845,1.3658338557730996,0.0,1.0,False,False,False,False,False,False,False,False,False
gpt-3.5-turbo,tiiuae/Falcon3-10B-Instruct,0.9989795918367348,37.02035408486504,1.1809374915715487,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,Deci/DeciLM-7B-instruct,1.0,54.854383167798915,1.8571859490001592,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,HuggingFaceH4/zephyr-7b-beta,1.0,51.52785399081743,1.642357003320088,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,1.0,47.60953349384995,1.4958203147250502,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,Qwen/Qwen2-1.5B-Instruct,1.0,61.31575268524562,2.096393273792175,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,Qwen/Qwen2-72B-Instruct,1.0,54.73696339198098,1.8557477348224192,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,Qwen/Qwen2-7B-Instruct,1.0,58.18247721791601,1.9311101668096402,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,Qwen/Qwen2.5-0.5B-Instruct,1.0,56.6163334724882,1.862500795436797,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,Qwen/Qwen2.5-3B-Instruct,1.0,66.09993482943794,2.5312007963862824,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,abacusai/Smaug-Llama-3-70B-Instruct,1.0,56.75295320707965,1.8631677913283278,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,claude-3-5-sonnet-20240620,1.0,66.81700694372952,2.6234691058965174,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,claude-3-haiku-20240307,1.0,62.56967713194096,2.5012336083134175,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,claude-3-opus-20240229,1.0,65.78008573876134,2.4247035179842857,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,google/gemma-1.1-2b-it,1.0,66.7975787595248,2.476728259951166,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,google/gemma-1.1-7b-it,1.0,58.75939093942388,2.3401246251132943,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,google/gemma-2-27b-it,1.0,61.334464295114714,2.3240912119146286,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,google/gemma-2-9b-it,1.0,67.07621680094971,2.3397280248935615,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,google/gemma-2b-it,1.0,70.3412441526826,2.567933433046761,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,google/gemma-7b-it,1.0,77.51448179121196,3.058295846281989,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,gpt-3.5-turbo,1.0,60.583489515309324,2.0665979666488363,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,gpt-4-turbo-2024-04-09,1.0,65.54160746910149,2.454285359024814,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,gpt-4o-2024-05-13,1.0,56.370873783087035,1.9882636601378916,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,gradientai/Llama-3-8B-Instruct-Gradient-1048k,1.0,79.44440003692146,3.024409616849143,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,ibm-granite/granite-3.0-8b-instruct,1.0,62.48723902023667,2.050145380428431,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,ibm-granite/granite-3.1-8b-instruct,1.0,56.204851180359924,1.9105225182673278,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,internlm/internlm2_5-7b-chat,1.0,56.858248819450495,2.0409680755483506,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,meta-llama/Llama-2-7b-chat-hf,1.0,64.5885057291588,2.379034660617444,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,meta-llama/Llama-3.2-1B-Instruct,1.0,62.56479168292831,2.092268097988409,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,meta-llama/Llama-3.2-3B-Instruct,1.0,61.05627207039596,2.0206316021439656,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,meta-llama/Meta-Llama-3-70B-Instruct,1.0,50.686287503659045,1.6439990694344877,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,meta-llama/Meta-Llama-3-8B-Instruct,1.0,60.781763114241414,2.0762658707496318,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,meta-llama/Meta-Llama-3.1-70B-Instruct,1.0,74.12341176871104,2.7054281755507286,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,meta-llama/Meta-Llama-3.1-8B-Instruct,1.0,58.88468946007475,2.044393941948306,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,microsoft/Phi-3-medium-128k-instruct,1.0,64.69038219793039,2.460965384406652,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,microsoft/Phi-3-medium-4k-instruct,1.0,70.60930730002443,2.6857786701248885,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,microsoft/Phi-3-mini-128k-instruct,1.0,53.81261733127616,1.8052102103448215,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,microsoft/Phi-3-mini-4k-instruct,1.0,53.05282881690026,1.8036803350190609,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,microsoft/Phi-3.5-MoE-instruct,1.0,60.21702068032643,2.208285483004761,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,microsoft/Phi-3.5-mini-instruct,1.0,73.52316606412151,2.679727757647166,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,mistralai/Mistral-7B-Instruct-v0.1,1.0,67.37246714035432,2.320035636398663,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,mistralai/Mistral-7B-Instruct-v0.2,1.0,62.567667741441035,2.090664691279347,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,mistralai/Mistral-7B-Instruct-v0.3,1.0,62.207881397135466,2.182212947602628,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,mistralai/Mixtral-8x7B-Instruct-v0.1,1.0,50.301116480143754,1.7102228177654468,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,nvidia/Llama3-ChatQA-1.5-8B,1.0,59.747933760392854,1.982051766445516,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,openchat/openchat-3.6-8b-20240522,1.0,57.56074372224444,1.905583024042803,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,openchat/openchat_3.5,1.0,55.51753217757354,1.976557798548459,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,tiiuae/Falcon3-10B-Instruct,1.0,57.67881765877804,1.9050311866259964,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,tiiuae/Falcon3-7B-Instruct,1.0,61.30759748922134,2.1349944597800503,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,togethercomputer/Llama-2-7B-32K-Instruct,1.0,76.77358785125307,2.893249339248493,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,upstage/SOLAR-10.7B-Instruct-v1.0,1.0,66.48887241086683,2.55230814824197,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-35B,utter-project/EuroLLM-1.7B-Instruct,1.0,72.37472835104191,2.6940909844943746,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,Deci/DeciLM-7B-instruct,1.0,46.01912872874151,1.5183559595441194,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,HuggingFaceH4/zephyr-7b-beta,1.0,47.346712667418224,1.472838878564763,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,1.0,42.96491990015001,1.3179176016165108,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,Qwen/Qwen2-1.5B-Instruct,1.0,60.578551813445635,2.0179098427035576,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,Qwen/Qwen2-72B-Instruct,1.0,54.553138022708424,1.802328620734305,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,Qwen/Qwen2-7B-Instruct,1.0,55.663157241966154,1.8013229429936222,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,Qwen/Qwen2.5-0.5B-Instruct,1.0,52.710103914373654,1.6910387124738824,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,Qwen/Qwen2.5-3B-Instruct,1.0,61.21109601183049,2.276665227324719,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,abacusai/Smaug-Llama-3-70B-Instruct,1.0,50.16050205574792,1.6060253132108886,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,claude-3-5-sonnet-20240620,1.0,66.06109809239098,2.5174585935646583,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,claude-3-haiku-20240307,1.0,59.95859452227833,2.3250794712595075,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,claude-3-opus-20240229,1.0,58.33166003760472,2.0906386225740947,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,google/gemma-1.1-2b-it,1.0,59.84028837569814,2.157003590837833,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,google/gemma-1.1-7b-it,1.0,62.870640521105756,2.429149726431432,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,google/gemma-2-27b-it,1.0,60.49043815242139,2.226945373692665,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,google/gemma-2-9b-it,1.0,62.60541651618884,2.126498168277379,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,google/gemma-2b-it,1.0,62.78499176367577,2.229232790568463,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,google/gemma-7b-it,1.0,68.73553848449772,2.6317426854762513,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,gpt-3.5-turbo,1.0,49.20538183512619,1.63539311952711,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,gpt-4-turbo-2024-04-09,1.0,66.65367539879053,2.425781171901302,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,gpt-4o-2024-05-13,1.0,56.55135543147341,1.941741150661609,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,gradientai/Llama-3-8B-Instruct-Gradient-1048k,1.0,74.8577233085755,2.768409748223354,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,ibm-granite/granite-3.0-8b-instruct,1.0,49.83324064911693,1.5945793675028093,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,ibm-granite/granite-3.1-8b-instruct,1.0,49.73508005993288,1.6473582618740654,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,internlm/internlm2_5-7b-chat,1.0,59.65783873947984,2.0837013753522173,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,meta-llama/Llama-2-7b-chat-hf,1.0,63.3379403946394,2.268447392996042,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,meta-llama/Llama-3.2-1B-Instruct,1.0,59.57213696499455,1.9420362406085927,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,meta-llama/Llama-3.2-3B-Instruct,1.0,58.14550149291591,1.8763475004887138,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,meta-llama/Meta-Llama-3-70B-Instruct,1.0,46.43809834183759,1.4694053765741593,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,meta-llama/Meta-Llama-3-8B-Instruct,1.0,55.39077045893332,1.8434837327015632,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,meta-llama/Meta-Llama-3.1-70B-Instruct,1.0,69.63356076794211,2.471881397199914,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,meta-llama/Meta-Llama-3.1-8B-Instruct,1.0,63.943489577094184,2.162061598124745,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,microsoft/Phi-3-medium-128k-instruct,1.0,60.35573143875892,2.230538038825266,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,microsoft/Phi-3-medium-4k-instruct,1.0,66.95678897323877,2.4741718283032763,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,microsoft/Phi-3-mini-128k-instruct,1.0,47.878560066443185,1.5655875871598341,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,microsoft/Phi-3-mini-4k-instruct,1.0,45.9154565594022,1.5210901398959653,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,microsoft/Phi-3.5-MoE-instruct,1.0,57.83438369263631,2.062500247755706,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,microsoft/Phi-3.5-mini-instruct,1.0,69.75229107912187,2.472692962478884,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,mistralai/Mistral-7B-Instruct-v0.1,1.0,56.60718747340586,1.8988280596462441,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,mistralai/Mistral-7B-Instruct-v0.2,1.0,56.079084244959354,1.8267159989071342,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,mistralai/Mistral-7B-Instruct-v0.3,1.0,55.47337794469924,1.8946458627225833,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,mistralai/Mixtral-8x7B-Instruct-v0.1,1.0,52.19639395279132,1.7292587280375773,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,nvidia/Llama3-ChatQA-1.5-8B,1.0,54.01666969915743,1.7471668237652576,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,openchat/openchat-3.6-8b-20240522,1.0,53.12830582826412,1.7150000486043762,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,openchat/openchat_3.5,1.0,52.97185599212203,1.8354624968279483,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,tiiuae/Falcon3-10B-Instruct,1.0,52.85837165194466,1.702399578099883,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,tiiuae/Falcon3-7B-Instruct,1.0,55.724466995422674,1.8897457942461116,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,togethercomputer/Llama-2-7B-32K-Instruct,1.0,71.42889001004701,2.615709428968447,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,upstage/SOLAR-10.7B-Instruct-v1.0,1.0,70.42196527924376,2.6254593040288263,0.0,1.0,False,False,False,False,False,False,False,False,False
CohereForAI/aya-23-8B,utter-project/EuroLLM-1.7B-Instruct,1.0,66.62830475291766,2.4108822593117942,0.0,1.0,False,False,False,False,False,False,False,False,False
Deci/DeciLM-7B-instruct,HuggingFaceH4/zephyr-7b-beta,1.0,43.23811776357356,1.323633426892167,0.0,1.0,False,False,False,False,False,False,False,False,False
Deci/DeciLM-7B-instruct,Qwen/Qwen2-1.5B-Instruct,1.0,46.51786543699445,1.5231727315723078,0.0,1.0,False,False,False,False,False,False,False,False,False
